Year,Age,Sex,Population
1955,20-24,Female,89.5
1955,25-29,Male,87.5
1955,25-29,Female,88.6
1955,30-34,Male,88.7
1955,30-34,Female,90.3
1955,35-39,Male,92.1
1955,35-39,Female,94.1
1955,40-44,Male,94.5
1955,40-44,Female,90.0
1955,45-49,Male,87.9
1955,45-49,Female,82.4
1955,50-54,Male,77.6
1955,50-54,Female,73.3
1955,55-59,Male,74.8
1955,55-59,Female,73.0
1955,60-64,Male,58.8
1955,60-64,Female,59.6
1955,65-69,Male,55.2
1955,65-69,Female,53.8
1955,70-74,Male,46.2
1955,70-74,Female,48.5
1955,75-79,Male,32.3
1955,75-79,Female,33.6
1955,80-84,Male,15.2
1955,80-84,Female,17.2
1955,85+,Male,6.9
1955,85+,Female,8.8
1956,00,Male,30.2
1956,00,Female,28.7
1956,01-04,Male,121.1
1956,01-04,Female,118.1
1956,05-09,Male,151.6
1956,05-09,Female,144.5
1956,10-14,Male,140.3
1956,10-14,Female,136.3
1956,15-19,Male,120.8
1956,15-19,Female,111.3
1956,20-24,Male,91.6
1956,20-24,Female,87.5
1956,25-29,Male,84.0
1956,25-29,Female,85.8
1956,30-34,Male,86.3
1956,30-34,Female,88.9
1956,35-39,Male,89.1
1956,35-39,Female,92.8
1956,40-44,Male,94.0
1956,40-44,Female,90.7
1956,45-49,Male,88.7
1956,45-49,Female,83.7
1956,50-54,Male,75.8
1956,50-54,Female,71.4
1956,55-59,Male,76.7
1956,55-59,Female,75.1
1956,60-64,Male,57.8
1956,60-64,Female,59.1
1956,65-69,Male,55.2
1956,65-69,Female,53.7
1956,70-74,Male,45.2
1956,70-74,Female,47.8
1956,75-79,Male,32.3
1956,75-79,Female,33.6
1956,80-84,Male,15.2
1956,80-84,Female,17.4
1956,85+,Male,7.2
1956,85+,Female,9.0
1957,00,Male,30.3
1957,00,Female,29.2
1957,01-04,Male,121.7
1957,01-04,Female,117.8
1957,05-09,Male,150.9
1957,05-09,Female,143.8
1957,10-14,Male,142.2
1957,10-14,Female,137.2
1957,15-19,Male,120.9
1957,15-19,Female,111.8
1957,20-24,Male,89.5
1957,20-24,Female,85.5
1957,25-29,Male,81.7
1957,25-29,Female,83.2
1957,30-34,Male,84.2
1957,30-34,Female,86.6
1957,35-39,Male,87.7
1957,35-39,Female,91.3
1957,40-44,Male,92.3
1957,40-44,Female,89.7
1957,45-49,Male,88.9
1957,45-49,Female,84.1
1957,50-54,Male,77.1
1957,50-54,Female,72.3
1957,55-59,Male,75.2
1957,55-59,Female,73.6
1957,60-64,Male,59.3
1957,60-64,Female,60.7
1957,65-69,Male,54.5
1957,65-69,Female,53.4
1957,70-74,Male,45.1
1957,70-74,Female,48.0
1957,75-79,Male,31.8
1957,75-79,Female,33.6
1957,80-84,Male,15.5
1957,80-84,Female,18.0
1957,85+,Male,7.3
1957,85+,Female,9.4
1958,00,Male,29.4
1958,00,Female,28.3
1958,01-04,Male,122.2
1958,01-04,Female,117.9
1958,05-09,Male,149.2
1958,05-09,Female,142.2
1958,10-14,Male,143.1
1958,10-14,Female,137.2
1958,15-19,Male,120.2
1958,15-19,Female,111.6
1958,20-24,Male,86.7
1958,20-24,Female,83.0
1958,25-29,Male,78.9
1958,25-29,Female,80.2
1958,30-34,Male,81.5
1958,30-34,Female,83.8
1958,35-39,Male,85.8
1958,35-39,Female,89.2
1958,40-44,Male,89.9
1958,40-44,Female,88.1
1958,45-49,Male,88.5
1958,45-49,Female,84.0
1958,50-54,Male,77.9
1958,50-54,Female,72.6
1958,55-59,Male,73.1
1958,55-59,Female,71.6
1958,60-64,Male,60.3
1958,60-64,Female,61.8
1958,65-69,Male,53.3
1958,65-69,Female,52.8
1958,70-74,Male,44.6
1958,70-74,Female,47.9
1958,75-79,Male,31.1
1958,75-79,Female,33.4
1958,80-84,Male,15.8
1958,80-84,Female,18.5
1958,85+,Male,7.4
1958,85+,Female,9.7
1959,00,Male,29.7
1959,00,Female,28.9
1959,01-04,Male,122.9
1959,01-04,Female,117.8
1959,05-09,Male,148.8
1959,05-09,Female,141.8
1959,10-14,Male,145.2
1959,10-14,Female,138.4
1959,15-19,Male,120.5
1959,15-19,Female,112.3
1959,20-24,Male,84.5
1959,20-24,Female,81.3
1959,25-29,Male,76.9
1959,25-29,Female,77.9
1959,30-34,Male,79.6
1959,30-34,Female,81.8
1959,35-39,Male,84.6
1959,35-39,Female,87.9
1959,40-44,Male,88.4
1959,40-44,Female,87.3
1959,45-49,Male,88.9
1959,45-49,Female,84.6
1959,50-54,Male,79.4
1959,50-54,Female,73.6
1959,55-59,Male,71.8
1959,55-59,Female,70.3
1959,60-64,Male,61.8
1959,60-64,Female,63.5
1959,65-69,Male,52.7
1959,65-69,Female,52.7
1959,70-74,Male,44.6
1959,70-74,Female,48.2
1959,75-79,Male,30.7
1959,75-79,Female,33.5
1959,80-84,Male,16.1
1959,80-84,Female,19.1
1959,85+,Male,7.5
1959,85+,Female,10.1
1960,00,Male,30.3
1960,00,Female,29.0
1960,01-04,Male,122.9
1960,01-04,Female,117.9
1960,05-09,Male,148.1
1960,05-09,Female,141.1
1960,10-14,Male,146.9
1960,10-14,Female,139.3
1960,15-19,Male,120.5
1960,15-19,Female,112.8
1960,20-24,Male,82.7
1960,20-24,Female,79.4
1960,25-29,Male,74.6
1960,25-29,Female,75.4
1960,30-34,Male,77.4
1960,30-34,Female,79.6
1960,35-39,Male,83.2
1960,35-39,Female,86.5
1960,40-44,Male,86.7
1960,40-44,Female,86.3
1960,45-49,Male,89.0
1960,45-49,Female,85.0
1960,50-54,Male,80.6
1960,50-54,Female,74.5
1960,55-59,Male,70.3
1960,55-59,Female,68.8
1960,60-64,Male,63.2
1960,60-64,Female,65.0
1960,65-69,Male,52.0
1960,65-69,Female,52.4
1960,70-74,Male,44.4
1960,70-74,Female,48.4
1960,75-79,Male,30.3
1960,75-79,Female,33.5
1960,80-84,Male,16.4
1960,80-84,Female,19.7
1960,85+,Male,7.6
1960,85+,Female,10.4
1961,00,Male,32.1
1961,00,Female,30.6
